%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698242605802676192,114,1698242605802309513,GPS1_Frame,42.33720016479492,-71.08973693847656,14.399999618530273,327846.21875,4689331.0,19,T
1698242606802538028,115,1698242606801610469,GPS1_Frame,42.33717346191406,-71.08977508544922,14.399999618530273,327842.84375,4689328.5,19,T
1698242607802483194,116,1698242607802155017,GPS1_Frame,42.33713912963867,-71.08979797363281,14.5,327840.6875,4689324.5,19,T
1698242608802678519,117,1698242608802093267,GPS1_Frame,42.337100982666016,-71.08981323242188,14.399999618530273,327839.625,4689320.5,19,T
1698242609802829386,118,1698242609802246809,GPS1_Frame,42.33706283569336,-71.08980560302734,14.399999618530273,327840.0625,4689316.0,19,T
1698242610802621255,119,1698242610802280664,GPS1_Frame,42.33702850341797,-71.08978271484375,14.300000190734863,327841.78125,4689312.5,19,T
1698242611802708632,120,1698242611801920652,GPS1_Frame,42.337005615234375,-71.0897445678711,14.5,327844.59375,4689309.5,19,T
1698242612802669828,121,1698242612802041530,GPS1_Frame,42.33698654174805,-71.08970642089844,14.399999618530273,327848.09375,4689307.5,19,T
1698242613802582948,122,1698242613802006483,GPS1_Frame,42.33698272705078,-71.08965301513672,14.300000190734863,327852.21875,4689307.0,19,T
1698242614802416885,123,1698242614801664829,GPS1_Frame,42.33699035644531,-71.08960723876953,14.300000190734863,327856.21875,4689307.5,19,T
1698242615802306751,124,1698242615801597595,GPS1_Frame,42.33700942993164,-71.08956146240234,14.300000190734863,327859.84375,4689309.5,19,T
1698242616802763259,125,1698242616802401065,GPS1_Frame,42.337039947509766,-71.08953094482422,14.300000190734863,327862.375,4689313.0,19,T
1698242617802857852,126,1698242617802186965,GPS1_Frame,42.33707046508789,-71.08951568603516,14.300000190734863,327863.84375,4689316.5,19,T
1698242618802848805,127,1698242618802109956,GPS1_Frame,42.33710861206055,-71.08951568603516,14.199999809265137,327863.8125,4689320.5,19,T
1698242619803187520,128,1698242619802595615,GPS1_Frame,42.3371467590332,-71.08953857421875,14.399999618530273,327862.25,4689324.5,19,T
1698242620805063836,129,1698242620804402828,GPS1_Frame,42.33717346191406,-71.0895767211914,14.699999809265137,327859.46875,4689328.0,19,T
1698242621803008484,130,1698242621802529096,GPS1_Frame,42.33719253540039,-71.08961486816406,14.699999809265137,327855.9375,4689330.0,19,T
1698242622803090239,131,1698242622802539110,GPS1_Frame,42.33720016479492,-71.08966827392578,14.699999809265137,327851.96875,4689331.0,19,T
1698242623803299685,132,1698242623802672624,GPS1_Frame,42.33719253540039,-71.08971405029297,14.800000190734863,327847.96875,4689330.0,19,T
